ID	plabels	alabels	longitude	latitude	PC1	PC2	RotNS	RotEW
474	Croatia	HR	16.1	45.32	0.0111	-0.046	0.041140294	0.023381322
660	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.03	-0.0443	0.050865928	-0.016587566
1890	Czech_Republic	CZ	15.37698423	49.73660661	0.0137	-0.0444	0.038884018	0.025437829
1923	Bosnia_and_Herzegovina	BA	17.86202304	44.17587582	0.0028	-0.0493	0.046605743	0.016316701
2083	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.0031	-0.0416	0.040836351	0.008518361
2733	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.0026	-0.0424	0.041466996	0.009219992
3467	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.0241	-0.0478	0.052598923	-0.009950042
3548	Romania	RO	24.98211714	45.8858244	-0.0304	-0.0537	0.060010324	-0.014373968
3740	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.0011	-0.0545	0.052681088	0.014005818
4108	Bosnia_and_Herzegovina	BA	17.86202304	44.17587582	0.0048	-0.0588	0.05518292	0.020864451
4506	Bosnia_and_Herzegovina	BA	17.86202304	44.17587582	0.001	-0.0539	0.051524052	0.015858186
4819	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.0314	-0.0508	0.057499673	-0.016136531
5238	Bulgaria	BG	25.2182006	42.81516649	-0.016	-0.0376	0.040557526	-0.004984685
5273	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.0254	-0.0579	0.062664798	-0.008407917
5315	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.0317	-0.0496	0.056429332	-0.016756507
5703	Hungary	HU	19.36879244	47.18223946	-0.0086	-0.0451	0.045720132	0.004199949
6222	Hungary	HU	19.36879244	47.18223946	0.0149	-0.0462	0.040282241	0.027088578
6632	Hungary	HU	19.36879244	47.18223946	-0.0104	-0.0416	0.042853959	0.001502717
7474	Czech_Republic	CZ	15.37698423	49.73660661	0.0212	-0.032	0.024894149	0.029218511
7641	Romania	RO	24.98211714	45.8858244	-0.0061	-0.0422	0.042242133	0.00580105
8135	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.0192	-0.0561	0.059221328	-0.002946918
8469	Romania	RO	24.98211714	45.8858244	-0.0131	-0.0417	0.043696303	-0.001064471
8670	Hungary	HU	19.36879244	47.18223946	0.0086	-0.0398	0.035872764	0.019265119
9707	Serbia_and_Montenegro	YG	20.61572308	43.94949264	0.0028	-0.0497	0.046990162	0.016427255
10108	Serbia_and_Montenegro	YG	20.61572308	43.94949264	-0.0109	-0.0488	0.049911691	0.003012164
